name,handedness,height,weight,avg,HR
Mike Jorgensen,L,72,195,0.243,95
Jerry Morales,R,70,155,0.259,95
Bernie Carbo,L,71,173,0.264,96
Dave May,L,70,186,0.251,96
Ozzie Virgil,R,73,180,0.243,98
Pete Ward,L,73,185,0.254,98
Butch Hobson,R,73,193,0.248,98
Johnny Grubb,L,75,175,0.278,99
Bruce Bochte,L,75,195,0.282,100
Duke Sims,L,74,197,0.239,100
Dave Concepcion,R,74,155,0.267,101
Denis Menke,R,72,185,0.25,101
Ollie Brown,R,74,178,0.265,102
Jay Johnstone,L,73,175,0.267,102
Steve Yeager,R,72,190,0.228,102
Lou Piniella,R,72,182,0.291,102
Eric Soderholm,R,71,187,0.264,102
Tony Gonzalez,L,69,170,0.286,103
Bob Boone,R,74,195,0.254,105
Lee Thomas,L,74,195,0.255,106
Larry Herndon,R,75,190,0.274,107
Fred Whitfield,L,73,190,0.253,108
Al Cowens,R,73,197,0.27,108
Dave Duncan,R,74,190,0.214,109
Phil Garner,R,70,175,0.26,109
Willie Aikens,L,75,220,0.271,110
Max Alvis,R,71,185,0.247,111
Curt Blefary,L,74,195,0.237,112
Chris Speier,R,73,175,0.246,112
Jim Morrison,R,71,175,0.26,112
Greg Walker,L,75,205,0.26,113
Chuck Hinton,R,73,180,0.264,113
Thurman Munson,R,71,190,0.292,113
Bob Robertson,R,73,195,0.242,115
Rick Reichardt,R,75,210,0.261,116
John Lowenstein,L,72,175,0.253,116
Garry Maddox,R,75,175,0.285,117
Mickey Stanley,R,73,185,0.248,117
Ed Kranepool,L,75,205,0.261,118
Mike Easler,L,72,190,0.293,118
Leo Cardenas,R,71,150,0.257,118
Gary Roenicke,R,75,205,0.247,121
Wayne Gross,L,74,210,0.233,121
Dan Ford,R,73,185,0.27,121
Jimmie Hall,L,72,175,0.254,121
Keith Moreland,R,72,190,0.279,121
Nick Esasky,R,75,200,0.25,122
Don Lock,R,74,195,0.238,122
Ken Henderson,B,74,180,0.257,122
Joe Ferguson,R,74,200,0.24,122
Ellis Valentine,R,76,205,0.278,123
Ken Phelps,L,73,209,0.239,123
Willie Upshaw,L,72,185,0.262,123
Aurelio Rodriguez,R,70,180,0.237,124
Jody Davis,R,76,192,0.245,127
Mike Epstein,L,75,230,0.244,130
Gary Ward,R,74,195,0.276,130
Steve Kemp,L,72,195,0.278,130
Tommie Agee,R,71,195,0.255,130
Jorge Orta,L,70,170,0.278,130
Ken Harrelson,R,74,190,0.239,131
John Milner,L,72,185,0.249,131
Mack Jones,L,73,180,0.252,133
Tom Haller,L,76,195,0.257,134
Paul Blair,R,72,168,0.25,134
Davey Johnson,R,73,170,0.261,136
Earl Williams,R,75,215,0.247,138
Jose Cardenal,R,70,150,0.275,138
Johnny Briggs,L,73,190,0.253,139
Willie Montanez,L,72,170,0.275,139
Jeffrey Leonard,R,74,200,0.266,144
Jim Spencer,L,74,195,0.25,146
Tommy Harper,R,69,165,0.257,146
Leon Durham,L,73,185,0.277,147
Ruppert Jones,L,70,170,0.25,147
Sixto Lezcano,R,70,165,0.271,148
Lou Brock,L,71,170,0.293,149
Jim Fregosi,R,73,190,0.265,151
Jim Northrup,L,75,190,0.267,153
Tom Tresh,B,73,180,0.245,153
Dan Driessen,L,71,187,0.267,153
Doug Rader,R,74,208,0.251,155
Davey Lopes,R,69,170,0.263,155
Ken McMullen,R,75,190,0.248,156
Donn Clendenon,R,76,209,0.274,159
Jim Hickman,R,75,192,0.252,159
Bill Melton,R,74,200,0.253,160
Pete Rose,B,71,192,0.303,160
Frank White,R,71,165,0.255,160
Roy White,B,70,160,0.271,160
Keith Hernandez,L,72,180,0.296,162
Roy Smalley,B,73,185,0.257,163
Bill Madlock,R,71,180,0.305,163
Claudell Washington,L,72,190,0.278,164
Jose Cruz,L,72,170,0.284,165
Tony Conigliaro,R,75,185,0.264,166
Bill Robinson,R,74,189,0.258,166
Larry Hisle,R,74,193,0.273,166
Dwayne Murphy,L,73,185,0.246,166
Jim Ray Hart,R,71,185,0.278,170
Nate Colbert,R,74,190,0.243,173
Bill Buckner,L,72,185,0.289,174
Don Money,R,73,170,0.261,176
Joe Rudi,R,74,200,0.264,179
Willie Davis,L,74,180,0.279,182
Bob Watson,R,72,201,0.295,184
Chris Chambliss,L,73,195,0.279,185
Darrell Porter,L,72,193,0.247,188
Bob Bailey,R,73,180,0.257,189
Hal McRae,R,71,180,0.29,191
Amos Otis,R,71,165,0.277,193
Toby Harrah,R,72,175,0.264,195
Cliff Johnson,R,76,215,0.258,196
Dick McAuliffe,L,71,176,0.247,197
Cesar Cedeno,R,74,175,0.285,199
Don Mincher,L,75,205,0.249,200
Bill Freehan,R,75,203,0.262,200
Oscar Gamble,L,71,160,0.265,200
Buddy Bell,R,73,180,0.279,201
Gene Tenace,R,72,190,0.241,201
Richie Hebner,L,73,195,0.276,203
Rico Carty,R,75,200,0.299,204
Richie Zisk,R,73,200,0.287,207
Jason Thompson,L,76,200,0.261,208
Rico Petrocelli,R,72,175,0.251,210
Chet Lemon,R,72,190,0.273,215
Bob Horner,R,73,195,0.277,218
Joe Pepitone,L,74,185,0.258,219
Al Oliver,L,72,195,0.303,219
Tony Oliva,L,73,175,0.304,220
Bobby Grich,R,74,180,0.266,224
Gary Matthews,R,74,185,0.281,234
Ben Oglivie,L,74,160,0.273,235
Doug DeCinces,R,74,190,0.259,237
Jeff Burroughs,R,73,200,0.261,240
Rick Monday,L,75,193,0.264,241
Cecil Cooper,L,74,165,0.298,241
Dusty Baker,R,74,183,0.278,242
Sal Bando,R,72,195,0.254,242
Deron Johnson,R,74,200,0.244,245
Ken Singleton,B,76,210,0.282,246
Ted Simmons,B,71,193,0.285,248
Tony Armas,R,71,182,0.252,251
Joe Torre,R,74,212,0.297,252
Bobby Murcer,L,71,160,0.277,252
Andre Thornton,R,75,200,0.254,253
John Mayberry,L,75,215,0.253,255
Larry Parrish,R,75,190,0.263,256
George Hendrick,R,75,195,0.278,267
Gorman Thomas,R,74,210,0.225,268
Joe Morgan,L,67,160,0.271,268
George Scott,R,74,200,0.268,271
Steve Garvey,R,70,192,0.294,272
Jimmy Wynn,R,70,160,0.25,291
Rusty Staub,L,74,190,0.279,292
Fred Lynn,L,73,185,0.283,306
Greg Luzinski,R,73,220,0.276,307
Reggie Smith,B,72,180,0.287,314
Ron Cey,R,70,185,0.261,316
Willie Horton,R,71,209,0.273,325
Bobby Bonds,R,73,190,0.268,332
Don Baylor,R,73,190,0.26,338
Boog Powell,L,76,230,0.266,339
Ron Santo,R,72,190,0.277,342
George Foster,R,73,180,0.274,348
Dick Allen,R,71,187,0.292,351
Lee May,R,75,195,0.267,354
Tony Perez,R,74,175,0.279,379
Jim Rice,R,74,200,0.298,382
Johnny Bench,R,73,197,0.267,389
Graig Nettles,L,72,180,0.248,390
Darrell Evans,L,74,200,0.248,414
Dave Kingman,R,78,210,0.236,442
Carl Yastrzemski,L,71,175,0.285,452
Willie Stargell,L,74,188,0.282,475
Mike Schmidt,R,74,195,0.267,548
Reggie Jackson,L,72,195,0.262,563
